期货代码,期货名称,公司名称
000004.SZ,国农科技,深圳国华网安科技股份有限公司
000005.SZ,世纪星源,深圳世纪星源股份有限公司
000008.SZ,神州高铁,神州高铁技术股份有限公司
000009.SZ,中国宝安,中国宝安集团股份有限公司
000012.SZ,南玻A,中国南玻集团股份有限公司
000016.SZ,深康佳A,康佳集团股份有限公司
000019.SZ,深粮控股,深圳市深粮控股股份有限公司
000020.SZ,深华发A,深圳中恒华发股份有限公司
000021.SZ,深科技,深圳长城开发科技股份有限公司
000023.SZ,深天地A,深圳市天地(集团)股份有限公司
000025.SZ,特力A,深圳市特力(集团)股份有限公司
000026.SZ,飞亚达,飞亚达精密科技股份有限公司
000027.SZ,深圳能源,深圳能源集团股份有限公司
000028.SZ,国药一致,国药集团一致药业股份有限公司
000030.SZ,富奥股份,富奥汽车零部件股份有限公司
000032.SZ,深桑达A,深圳市桑达实业股份有限公司
000034.SZ,神州数码,神州数码集团股份有限公司
000035.SZ,中国天楹,中国天楹股份有限公司
000037.SZ,深南电A,深圳南山热电股份有限公司
000038.SZ,深大通,深圳大通实业股份有限公司
000039.SZ,中集集团,中国国际海运集装箱(集团)股份有限公司
000040.SZ,东旭蓝天,东旭蓝天新能源股份有限公司
000045.SZ,深纺织A,深圳市纺织(集团)股份有限公司
000048.SZ,京基智农,深圳市京基智农时代股份有限公司
000049.SZ,德赛电池,深圳市德赛电池科技股份有限公司
000050.SZ,深天马A,天马微电子股份有限公司
000055.SZ,方大集团,方大集团股份有限公司
000056.SZ,皇庭国际,深圳市皇庭国际企业股份有限公司
000058.SZ,深赛格,深圳赛格股份有限公司
000059.SZ,华锦股份,北方华锦化学工业股份有限公司
000060.SZ,中金岭南,深圳市中金岭南有色金属股份有限公司
000061.SZ,农产品,深圳市农产品集团股份有限公司
000062.SZ,深圳华强,深圳华强实业股份有限公司
000063.SZ,中兴通讯,中兴通讯股份有限公司
000066.SZ,中国长城,中国长城科技集团股份有限公司
000068.SZ,华控赛格,深圳华控赛格股份有限公司
000070.SZ,特发信息,深圳市特发信息股份有限公司
000078.SZ,海王生物,深圳市海王生物工程股份有限公司
000088.SZ,盐田港,深圳市盐田港股份有限公司
000089.SZ,深圳机场,深圳市机场股份有限公司
000096.SZ,广聚能源,深圳市广聚能源股份有限公司
000099.SZ,中信海直,中信海洋直升机股份有限公司
000100.SZ,TCL科技,TCL科技集团股份有限公司
000151.SZ,中成股份,中成进出口股份有限公司
000153.SZ,丰原药业,安徽丰原药业股份有限公司
000155.SZ,川能动力,四川省新能源动力股份有限公司
000156.SZ,华数传媒,华数传媒控股股份有限公司
000157.SZ,中联重科,中联重科股份有限公司
000158.SZ,常山北明,石家庄常山北明科技股份有限公司
000159.SZ,国际实业,新疆国际实业股份有限公司
000301.SZ,东方盛虹,江苏东方盛虹股份有限公司
000333.SZ,美的集团,美的集团股份有限公司
000338.SZ,潍柴动力,潍柴动力股份有限公司
000400.SZ,许继电气,许继电气股份有限公司
000401.SZ,冀东水泥,唐山冀东水泥股份有限公司
000403.SZ,双林生物,南方双林生物制药股份有限公司
000404.SZ,长虹华意,长虹华意压缩机股份有限公司
000407.SZ,胜利股份,山东胜利股份有限公司
000411.SZ,英特集团,浙江英特集团股份有限公司
000413.SZ,东旭光电,东旭光电科技股份有限公司
000415.SZ,渤海租赁,渤海租赁股份有限公司
000417.SZ,合肥百货,合肥百货大楼集团股份有限公司
000419.SZ,通程控股,长沙通程控股股份有限公司
000420.SZ,吉林化纤,吉林化纤股份有限公司
000421.SZ,南京公用,南京公用发展股份有限公司
000423.SZ,东阿阿胶,东阿阿胶股份有限公司
000425.SZ,徐工机械,徐工集团工程机械股份有限公司
000426.SZ,兴业矿业,内蒙古兴业矿业股份有限公司
000428.SZ,华天酒店,华天酒店集团股份有限公司
000429.SZ,粤高速A,广东省高速公路发展股份有限公司
000430.SZ,张家界,张家界旅游集团股份有限公司
000488.SZ,晨鸣纸业,山东晨鸣纸业集团股份有限公司
000501.SZ,鄂武商A,武汉武商集团股份有限公司
000503.SZ,国新健康,国新健康保障服务集团股份有限公司
000506.SZ,中润资源,中润资源投资股份有限公司
000507.SZ,珠海港,珠海港股份有限公司
000510.SZ,新金路,四川新金路集团股份有限公司
000513.SZ,丽珠集团,丽珠医药集团股份有限公司
000516.SZ,国际医学,西安国际医学投资股份有限公司
000518.SZ,四环生物,江苏四环生物股份有限公司
000519.SZ,中兵红箭,中兵红箭股份有限公司
000520.SZ,长航凤凰,长航凤凰股份有限公司
000521.SZ,长虹美菱,长虹美菱股份有限公司
000523.SZ,广州浪奇,广州市浪奇实业股份有限公司
000524.SZ,岭南控股,广州岭南集团控股股份有限公司
000525.SZ,红太阳,南京红太阳股份有限公司
000526.SZ,紫光学大,厦门紫光学大股份有限公司
000528.SZ,柳工,广西柳工机械股份有限公司
000529.SZ,广弘控股,广东广弘控股股份有限公司
000530.SZ,冰山冷热,冰山冷热科技股份有限公司
000531.SZ,穗恒运A,广州恒运企业集团股份有限公司
000532.SZ,华金资本,珠海华金资本股份有限公司
000533.SZ,顺钠股份,广东顺钠电气股份有限公司
000534.SZ,万泽股份,万泽实业股份有限公司
000538.SZ,云南白药,云南白药集团股份有限公司
000539.SZ,粤电力A,广东电力发展股份有限公司
000541.SZ,佛山照明,佛山电器照明股份有限公司
000543.SZ,皖能电力,安徽省皖能股份有限公司
000544.SZ,中原环保,中原环保股份有限公司
000545.SZ,金浦钛业,金浦钛业股份有限公司
000547.SZ,航天发展,航天工业发展股份有限公司
000548.SZ,湖南投资,湖南投资集团股份有限公司
000550.SZ,江铃汽车,江铃汽车股份有限公司
000551.SZ,创元科技,创元科技股份有限公司
000552.SZ,靖远煤电,甘肃靖远煤电股份有限公司
000553.SZ,安道麦A,安道麦股份有限公司
000554.SZ,泰山石油,中国石化山东泰山石油股份有限公司
000555.SZ,神州信息,神州数码信息服务股份有限公司
000557.SZ,西部创业,宁夏西部创业实业股份有限公司
000559.SZ,万向钱潮,万向钱潮股份有限公司
000561.SZ,烽火电子,陕西烽火电子股份有限公司
000564.SZ,供销大集,供销大集集团股份有限公司
000565.SZ,渝三峡A,重庆三峡油漆股份有限公司
000566.SZ,海南海药,海南海药股份有限公司
000568.SZ,泸州老窖,泸州老窖股份有限公司
000570.SZ,苏常柴A,常柴股份有限公司
000576.SZ,广东甘化,广东甘化科工股份有限公司
000581.SZ,威孚高科,无锡威孚高科技集团股份有限公司
000582.SZ,北部湾港,北部湾港股份有限公司
000584.SZ,哈工智能,江苏哈工智能机器人股份有限公司
000586.SZ,汇源通信,四川汇源光通信股份有限公司
000589.SZ,贵州轮胎,贵州轮胎股份有限公司
000590.SZ,启迪古汉,启迪药业集团股份公司
000591.SZ,太阳能,中节能太阳能股份有限公司
000593.SZ,大通燃气,四川大通燃气开发股份有限公司
000596.SZ,古井贡酒,安徽古井贡酒股份有限公司
000597.SZ,东北制药,东北制药集团股份有限公司
000598.SZ,兴蓉环境,成都市兴蓉环境股份有限公司
000599.SZ,青岛双星,青岛双星股份有限公司
000600.SZ,建投能源,河北建投能源投资股份有限公司
000601.SZ,韶能股份,广东韶能集团股份有限公司
000603.SZ,盛达资源,盛达金属资源股份有限公司
000605.SZ,渤海股份,渤海水业股份有限公司
000606.SZ,顺利办,顺利办信息服务股份有限公司
000607.SZ,华媒控股,浙江华媒控股股份有限公司
000609.SZ,中迪投资,北京中迪投资股份有限公司
000610.SZ,西安旅游,西安旅游股份有限公司
000612.SZ,焦作万方,焦作万方铝业股份有限公司
000613.SZ,大东海A,海南大东海旅游中心股份有限公司
000619.SZ,海螺型材,芜湖海螺型材科技股份有限公司
000622.SZ,恒立实业,恒立实业发展集团股份有限公司
000623.SZ,吉林敖东,吉林敖东药业集团股份有限公司
000625.SZ,长安汽车,重庆长安汽车股份有限公司
000626.SZ,远大控股,远大产业控股股份有限公司
000629.SZ,攀钢钒钛,攀钢集团钒钛资源股份有限公司
000630.SZ,铜陵有色,铜陵有色金属集团股份有限公司
000632.SZ,三木集团,福建三木集团股份有限公司
000633.SZ,合金投资,新疆合金投资股份有限公司
000635.SZ,英力特,宁夏英力特化工股份有限公司
000636.SZ,风华高科,广东风华高新科技股份有限公司
000637.SZ,茂化实华,茂名石化实华股份有限公司
000638.SZ,万方发展,万方城镇投资发展股份有限公司
000639.SZ,西王食品,西王食品股份有限公司
000650.SZ,仁和药业,仁和药业股份有限公司
000651.SZ,格力电器,珠海格力电器股份有限公司
000652.SZ,泰达股份,天津泰达股份有限公司
000655.SZ,金岭矿业,山东金岭矿业股份有限公司
000657.SZ,中钨高新,中钨高新材料股份有限公司
000659.SZ,珠海中富,珠海中富实业股份有限公司
000661.SZ,长春高新,长春高新技术产业(集团)股份有限公司
000665.SZ,湖北广电,湖北省广播电视信息网络股份有限公司
000672.SZ,上峰水泥,甘肃上峰水泥股份有限公司
000676.SZ,智度股份,智度科技股份有限公司
000677.SZ,恒天海龙,恒天海龙股份有限公司
000678.SZ,襄阳轴承,襄阳汽车轴承股份有限公司
000680.SZ,山推股份,山推工程机械股份有限公司
000681.SZ,视觉中国,视觉(中国)文化发展股份有限公司
000682.SZ,东方电子,东方电子股份有限公司
000683.SZ,远兴能源,内蒙古远兴能源股份有限公司
000685.SZ,中山公用,中山公用事业集团股份有限公司
000688.SZ,国城矿业,国城矿业股份有限公司
000690.SZ,宝新能源,广东宝丽华新能源股份有限公司
000692.SZ,惠天热电,沈阳惠天热电股份有限公司
000695.SZ,滨海能源,天津滨海能源发展股份有限公司
000697.SZ,炼石航空,炼石航空科技股份有限公司
000698.SZ,沈阳化工,沈阳化工股份有限公司
000700.SZ,模塑科技,江南模塑科技股份有限公司
000701.SZ,厦门信达,厦门信达股份有限公司
000702.SZ,正虹科技,湖南正虹科技发展股份有限公司
000703.SZ,恒逸石化,恒逸石化股份有限公司
000705.SZ,浙江震元,浙江震元股份有限公司
000708.SZ,中信特钢,中信泰富特钢集团股份有限公司
000709.SZ,河钢股份,河钢股份有限公司
000710.SZ,贝瑞基因,成都市贝瑞和康基因技术股份有限公司
000713.SZ,丰乐种业,合肥丰乐种业股份有限公司
000715.SZ,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司
000716.SZ,黑芝麻,南方黑芝麻集团股份有限公司
000717.SZ,韶钢松山,广东韶钢松山股份有限公司
000719.SZ,中原传媒,中原大地传媒股份有限公司
000721.SZ,西安饮食,西安饮食股份有限公司
000722.SZ,湖南发展,湖南发展集团股份有限公司
000723.SZ,美锦能源,山西美锦能源股份有限公司
000725.SZ,京东方A,京东方科技集团股份有限公司
000726.SZ,鲁泰A,鲁泰纺织股份有限公司
000729.SZ,燕京啤酒,北京燕京啤酒股份有限公司
000731.SZ,四川美丰,四川美丰化工股份有限公司
000733.SZ,振华科技,中国振华(集团)科技股份有限公司
000735.SZ,罗牛山,罗牛山股份有限公司
000738.SZ,航发控制,中国航发动力控制股份有限公司
000739.SZ,普洛药业,普洛药业股份有限公司
000751.SZ,锌业股份,葫芦岛锌业股份有限公司
000753.SZ,漳州发展,福建漳州发展股份有限公司
000755.SZ,山西路桥,山西路桥股份有限公司
000756.SZ,新华制药,山东新华制药股份有限公司
000757.SZ,浩物股份,四川浩物机电股份有限公司
000758.SZ,中色股份,中国有色金属建设股份有限公司
000759.SZ,中百集团,中百控股集团股份有限公司
000761.SZ,本钢板材,本钢板材股份有限公司
000762.SZ,西藏矿业,西藏矿业发展股份有限公司
000766.SZ,通化金马,通化金马药业集团股份有限公司
000767.SZ,漳泽电力,晋能控股山西电力股份有限公司
000768.SZ,中航飞机,中航西安飞机工业集团股份有限公司
000777.SZ,中核科技,中核苏阀科技实业股份有限公司
000778.SZ,新兴铸管,新兴铸管股份有限公司
000779.SZ,甘咨询,甘肃工程咨询集团股份有限公司
000782.SZ,美达股份,广东新会美达锦纶股份有限公司
000785.SZ,居然之家,居然之家新零售集团股份有限公司
000786.SZ,北新建材,北新集团建材股份有限公司
000788.SZ,北大医药,北大医药股份有限公司
000789.SZ,万年青,江西万年青水泥股份有限公司
000790.SZ,华神科技,成都华神科技集团股份有限公司
000791.SZ,甘肃电投,甘肃电投能源发展股份有限公司
000793.SZ,华闻集团,华闻传媒投资集团股份有限公司
000795.SZ,英洛华,英洛华科技股份有限公司
000796.SZ,凯撒旅业,凯撒同盛发展股份有限公司
000798.SZ,中水渔业,中水集团远洋股份有限公司
000799.SZ,酒鬼酒,酒鬼酒股份有限公司
000800.SZ,一汽解放,一汽解放集团股份有限公司
000801.SZ,四川九洲,四川九洲电器股份有限公司
000802.SZ,北京文化,北京京西文化旅游股份有限公司
000807.SZ,云铝股份,云南铝业股份有限公司
000809.SZ,铁岭新城,铁岭新城投资控股(集团)股份有限公司
000810.SZ,创维数字,创维数字股份有限公司
000811.SZ,冰轮环境,冰轮环境技术股份有限公司
000812.SZ,陕西金叶,陕西金叶科教集团股份有限公司
000813.SZ,德展健康,德展大健康股份有限公司
000815.SZ,美利云,中冶美利云产业投资股份有限公司
000818.SZ,航锦科技,航锦科技股份有限公司
000819.SZ,岳阳兴长,岳阳兴长石化股份有限公司
000821.SZ,京山轻机,湖北京山轻工机械股份有限公司
000822.SZ,山东海化,山东海化股份有限公司
000823.SZ,超声电子,广东汕头超声电子股份有限公司
000825.SZ,太钢不锈,山西太钢不锈钢股份有限公司
